index,RPT,総合ランク,Web_複勝期待値_レンジ,試行回数,複勝的中数,複勝投資額,複勝払戻額,複勝的中率(%),複勝回収率(%),単勝的中数,単勝投資額,単勝払戻額,単勝的中率(%),単勝回収率(%)
913,8,F,"[1.2, 1.4)",1,0,100,0,0,0,0,100,0,0,0
914,8,F,"[1.4, 1.6)",1,0,100,0,0,0,0,100,0,0,0
915,8,F,"[2.0, 100.0)",2,0,200,0,0,0,0,200,0,0,0
916,8,G,"[0.0, 0.25)",77,5,7700,12090,6.493506494,157.012987,1,7700,20720,1.298701299,269.0909091
917,8,G,"[0.25, 0.5)",141,7,14100,21930,4.964539007,155.5319149,1,14100,6410,0.709219858,45.46099291
918,8,G,"[0.5, 0.75)",43,2,4300,1070,4.651162791,24.88372093,0,4300,0,0,0
919,8,G,"[0.75, 0.8)",5,0,500,0,0,0,0,500,0,0,0
920,8,G,"[0.8, 0.85)",6,0,600,0,0,0,0,600,0,0,0
921,8,G,"[0.85, 0.9)",2,0,200,0,0,0,0,200,0,0,0
922,8,G,"[0.9, 0.95)",4,0,400,0,0,0,0,400,0,0,0
923,8,G,"[0.95, 1.0)",1,0,100,0,0,0,0,100,0,0,0
924,8,G,"[1.0, 1.05)",4,0,400,0,0,0,0,400,0,0,0
925,8,G,"[1.05, 1.1)",1,0,100,0,0,0,0,100,0,0,0
926,8,G,"[1.1, 1.15)",1,0,100,0,0,0,0,100,0,0,0
927,8,G,"[1.4, 1.6)",1,0,100,0,0,0,0,100,0,0,0
928,8,G,"[2.0, 100.0)",2,0,200,0,0,0,0,200,0,0,0
929,9,SSS,"[0.75, 0.8)",1,0,100,0,0,0,0,100,0,0,0
930,9,SSS,"[0.8, 0.85)",1,1,100,100,100,100,1,100,110,100,110
931,9,SSS,"[0.85, 0.9)",4,3,400,330,75,82.5,2,400,220,50,55
932,9,SSS,"[0.95, 1.0)",4,3,400,330,75,82.5,2,400,280,50,70
933,9,SS,"[0.8, 0.85)",6,5,600,560,83.33333333,93.33333333,4,600,680,66.66666667,113.3333333
934,9,SS,"[0.9, 0.95)",4,2,400,220,50,55,1,400,140,25,35
935,9,SS,"[1.2, 1.4)",1,1,100,110,100,110,0,100,0,0,0
936,9,S,"[0.0, 0.25)",1,1,100,2700,100,2700,0,100,0,0,0
937,9,S,"[0.5, 0.75)",10,6,1000,780,60,78,3,1000,600,30,60
938,9,S,"[0.75, 0.8)",7,6,700,730,85.71428571,104.2857143,3,700,620,42.85714286,88.57142857
939,9,S,"[0.8, 0.85)",22,17,2200,1890,77.27272727,85.90909091,11,2200,1860,50,84.54545455
940,9,S,"[0.85, 0.9)",6,5,600,570,83.33333333,95,4,600,510,66.66666667,85
941,9,S,"[0.9, 0.95)",2,2,200,270,100,135,1,200,190,50,95
942,9,S,"[0.95, 1.0)",5,5,500,690,100,138,4,500,560,80,112
943,9,S,"[2.0, 100.0)",2,2,200,240,100,120,1,200,240,50,120
944,9,AA,"[0.0, 0.25)",1,0,100,0,0,0,0,100,0,0,0
945,9,AA,"[0.5, 0.75)",2,1,200,120,50,60,0,200,0,0,0
946,9,AA,"[0.75, 0.8)",5,2,500,230,40,46,2,500,470,40,94
947,9,AA,"[0.8, 0.85)",2,0,200,0,0,0,0,200,0,0,0
948,9,AA,"[0.85, 0.9)",5,4,500,470,80,94,1,500,170,20,34
949,9,AA,"[0.9, 0.95)",2,1,200,230,50,115,1,200,390,50,195
950,9,AA,"[0.95, 1.0)",1,1,100,110,100,110,0,100,0,0,0
951,9,AA,"[2.0, 100.0)",1,1,100,150,100,150,0,100,0,0,0
952,9,A,"[0.0, 0.25)",1,0,100,0,0,0,0,100,0,0,0
953,9,A,"[0.25, 0.5)",3,1,300,150,33.33333333,50,0,300,0,0,0
954,9,A,"[0.5, 0.75)",31,14,3100,2520,45.16129032,81.29032258,1,3100,600,3.225806452,19.35483871
955,9,A,"[0.75, 0.8)",8,2,800,340,25,42.5,1,800,320,12.5,40
956,9,A,"[0.8, 0.85)",6,4,600,530,66.66666667,88.33333333,2,600,570,33.33333333,95
957,9,A,"[0.85, 0.9)",1,1,100,200,100,200,1,100,450,100,450
958,9,A,"[0.9, 0.95)",5,3,500,370,60,74,2,500,430,40,86
959,9,A,"[1.05, 1.1)",2,0,200,0,0,0,0,200,0,0,0
960,9,A,"[1.2, 1.4)",1,0,100,0,0,0,0,100,0,0,0
961,9,A,"[1.6, 1.8)",1,1,100,110,100,110,1,100,210,100,210
962,9,A,"[2.0, 100.0)",5,3,500,410,60,82,0,500,0,0,0
963,9,B,"[0.0, 0.25)",1,0,100,0,0,0,0,100,0,0,0
964,9,B,"[0.25, 0.5)",6,1,600,160,16.66666667,26.66666667,0,600,0,0,0
965,9,B,"[0.5, 0.75)",55,27,5500,5300,49.09090909,96.36363636,9,5500,5180,16.36363636,94.18181818
966,9,B,"[0.75, 0.8)",9,4,900,780,44.44444444,86.66666667,1,900,220,11.11111111,24.44444444
967,9,B,"[0.8, 0.85)",10,6,1000,1070,60,107,2,1000,1000,20,100
968,9,B,"[0.85, 0.9)",10,5,1000,930,50,93,4,1000,1530,40,153
969,9,B,"[0.9, 0.95)",1,1,100,160,100,160,1,100,290,100,290
970,9,B,"[0.95, 1.0)",3,1,300,200,33.33333333,66.66666667,1,300,470,33.33333333,156.6666667
971,9,B,"[1.1, 1.15)",1,0,100,0,0,0,0,100,0,0,0
972,9,B,"[1.15, 1.2)",2,1,200,280,50,140,1,200,900,50,450
973,9,B,"[1.2, 1.4)",1,0,100,0,0,0,0,100,0,0,0
974,9,B,"[1.4, 1.6)",1,0,100,0,0,0,0,100,0,0,0
975,9,B,"[2.0, 100.0)",4,3,400,450,75,112.5,0,400,0,0,0
976,9,C,"[0.0, 0.25)",1,0,100,0,0,0,0,100,0,0,0
977,9,C,"[0.25, 0.5)",17,4,1700,810,23.52941176,47.64705882,0,1700,0,0,0
978,9,C,"[0.5, 0.75)",100,42,10000,12430,42,124.3,14,10000,13000,14,130
979,9,C,"[0.75, 0.8)",9,3,900,690,33.33333333,76.66666667,0,900,0,0,0
980,9,C,"[0.8, 0.85)",10,3,1000,760,30,76,1,1000,420,10,42
981,9,C,"[0.85, 0.9)",5,1,500,160,20,32,0,500,0,0,0
982,9,C,"[0.9, 0.95)",4,1,400,120,25,30,0,400,0,0,0
983,9,C,"[0.95, 1.0)",2,1,200,190,50,95,1,200,460,50,230
984,9,C,"[1.05, 1.1)",1,1,100,310,100,310,0,100,0,0,0
985,9,C,"[1.2, 1.4)",2,0,200,0,0,0,0,200,0,0,0
986,9,C,"[1.8, 2.0)",1,0,100,0,0,0,0,100,0,0,0
987,9,C,"[2.0, 100.0)",1,0,100,0,0,0,0,100,0,0,0
988,9,D,"[0.0, 0.25)",3,0,300,0,0,0,0,300,0,0,0
989,9,D,"[0.25, 0.5)",35,8,3500,3450,22.85714286,98.57142857,2,3500,2360,5.714285714,67.42857143
990,9,D,"[0.5, 0.75)",99,21,9900,6630,21.21212121,66.96969697,7,9900,8320,7.070707071,84.04040404
991,9,D,"[0.75, 0.8)",9,2,900,590,22.22222222,65.55555556,1,900,1540,11.11111111,171.1111111
992,9,D,"[0.8, 0.85)",5,2,500,1240,40,248,1,500,820,20,164
993,9,D,"[0.85, 0.9)",2,1,200,350,50,175,1,200,800,50,400
994,9,D,"[0.9, 0.95)",6,0,600,0,0,0,0,600,0,0,0
995,9,D,"[0.95, 1.0)",3,0,300,0,0,0,0,300,0,0,0
996,9,D,"[1.05, 1.1)",3,0,300,0,0,0,0,300,0,0,0
997,9,D,"[1.4, 1.6)",2,1,200,330,50,165,0,200,0,0,0
998,9,D,"[1.8, 2.0)",1,0,100,0,0,0,0,100,0,0,0
999,9,D,"[2.0, 100.0)",2,1,200,170,50,85,0,200,0,0,0
1000,9,E,"[0.0, 0.25)",3,0,300,0,0,0,0,300,0,0,0
1001,9,E,"[0.25, 0.5)",56,16,5600,10660,28.57142857,190.3571429,1,5600,7920,1.785714286,141.4285714
1002,9,E,"[0.5, 0.75)",124,27,12400,18860,21.77419355,152.0967742,7,12400,20520,5.64516129,165.483871
1003,9,E,"[0.75, 0.8)",17,3,1700,1090,17.64705882,64.11764706,0,1700,0,0,0
1004,9,E,"[0.8, 0.85)",18,2,1800,840,11.11111111,46.66666667,0,1800,0,0,0
1005,9,E,"[0.85, 0.9)",9,4,900,1640,44.44444444,182.2222222,0,900,0,0,0
1006,9,E,"[0.9, 0.95)",13,2,1300,1560,15.38461538,120,0,1300,0,0,0
1007,9,E,"[0.95, 1.0)",11,4,1100,3380,36.36363636,307.2727273,1,1100,4670,9.090909091,424.5454545
1008,9,E,"[1.0, 1.05)",8,2,800,1020,25,127.5,0,800,0,0,0
1009,9,E,"[1.05, 1.1)",3,0,300,0,0,0,0,300,0,0,0
1010,9,E,"[1.1, 1.15)",4,0,400,0,0,0,0,400,0,0,0
1011,9,E,"[1.15, 1.2)",2,0,200,0,0,0,0,200,0,0,0
