競馬場,データ種別,総合ランク,単勝オッズ帯,出走数,勝率,連対率,複勝率
門別,総合ランクオッズ別,S,1.0～1.9,,58.2%,76.4%,85.7%
門別,総合ランクオッズ別,S,2.0～2.9,,37.2%,61.4%,77.8%
門別,総合ランクオッズ別,S,3.0～3.9,,20.2%,40.4%,57.9%
門別,総合ランクオッズ別,S,4.0～5.9,,17.9%,40.7%,54.9%
門別,総合ランクオッズ別,S,6.0～,,7.2%,24.6%,36.2%
門別,総合ランクオッズ別,AA,1.0～1.9,,49.1%,66.3%,79.9%
門別,総合ランクオッズ別,AA,2.0～2.9,,33.2%,57.1%,71.6%
門別,総合ランクオッズ別,AA,3.0～3.9,,24.7%,45.6%,63.3%
門別,総合ランクオッズ別,AA,4.0～4.9,,12.6%,38.9%,53.3%
門別,総合ランクオッズ別,AA,5.0～6.9,,17.2%,40.3%,58.1%
門別,総合ランクオッズ別,AA,7.0～,,10.9%,28.5%,44.8%
門別,総合ランクオッズ別,A,1.0～2.9,,35.2%,57.9%,72.2%
門別,総合ランクオッズ別,A,3.0～3.9,,20.6%,46.7%,63.0%
門別,総合ランクオッズ別,A,4.0～4.9,,13.9%,35.7%,56.4%
門別,総合ランクオッズ別,A,5.0～6.9,,11.8%,34.4%,54.1%
門別,総合ランクオッズ別,A,7.0～9.9,,7.8%,30.0%,50.2%
門別,総合ランクオッズ別,A,10.0～,,5.5%,19.1%,34.2%
門別,総合ランクオッズ別,B,1.0～2.9,,30.2%,47.6%,68.3%
門別,総合ランクオッズ別,B,3.0～3.9,,23.3%,40.3%,61.0%
門別,総合ランクオッズ別,B,4.0～4.9,,24.2%,42.2%,64.0%
門別,総合ランクオッズ別,B,5.0～6.9,,14.1%,33.2%,50.4%
門別,総合ランクオッズ別,B,7.0～9.9,,11.8%,30.2%,45.4%
門別,総合ランクオッズ別,B,10.0～14.9,,9.0%,22.3%,42.2%
門別,総合ランクオッズ別,B,15.0～19.9,,4.4%,17.5%,34.3%
門別,総合ランクオッズ別,B,20.0～29.9,,2.0%,9.9%,22.8%
門別,総合ランクオッズ別,B,30.0～49.9,,1.3%,8.8%,23.8%
門別,総合ランクオッズ別,B,50.0～99.9,,0.0%,6.5%,13.0%
門別,総合ランクオッズ別,B,100.0～,,4.8%,4.8%,4.8%
門別,総合ランクオッズ別,C,1.5～1.9,,33.3%,33.3%,66.7%
門別,総合ランクオッズ別,C,2.0～2.9,,28.6%,61.2%,79.6%
門別,総合ランクオッズ別,C,3.0～3.9,,21.0%,42.0%,55.6%
門別,総合ランクオッズ別,C,4.0～4.9,,15.1%,34.4%,52.7%
門別,総合ランクオッズ別,C,5.0～6.9,,11.6%,24.6%,42.0%
門別,総合ランクオッズ別,C,7.0～9.9,,8.5%,22.2%,41.3%
門別,総合ランクオッズ別,C,10.0～14.9,,6.3%,16.4%,32.7%
門別,総合ランクオッズ別,C,15.0～19.9,,3.6%,16.7%,32.1%
門別,総合ランクオッズ別,C,20.0～29.9,,3.1%,13.3%,31.1%
門別,総合ランクオッズ別,C,30.0～49.9,,1.2%,4.2%,20.0%
門別,総合ランクオッズ別,C,50.0～99.9,,1.0%,7.8%,14.6%
門別,総合ランクオッズ別,C,100.0～,,1.7%,1.7%,1.7%
門別,総合ランクオッズ別,D,1.0～1.4,,100.0%,100.0%,100.0%
門別,総合ランクオッズ別,D,1.5～1.9,,42.9%,57.1%,85.7%
門別,総合ランクオッズ別,D,2.0～2.9,,39.3%,53.6%,57.1%
門別,総合ランクオッズ別,D,3.0～3.9,,9.5%,29.7%,43.2%
門別,総合ランクオッズ別,D,4.0～4.9,,11.8%,33.1%,49.6%
門別,総合ランクオッズ別,D,5.0～6.9,,13.4%,30.6%,42.5%
門別,総合ランクオッズ別,D,7.0～9.9,,7.7%,18.8%,32.4%
門別,総合ランクオッズ別,D,10.0～14.9,,4.5%,19.3%,34.0%
門別,総合ランクオッズ別,D,15.0～19.9,,3.1%,10.9%,22.8%
門別,総合ランクオッズ別,D,20.0～29.9,,3.9%,11.3%,23.3%
門別,総合ランクオッズ別,D,30.0～49.9,,2.6%,6.7%,15.8%
門別,総合ランクオッズ別,D,50.0～99.9,,1.6%,4.2%,11.2%
門別,総合ランクオッズ別,D,100.0～,,0.3%,1.0%,2.7%
門別,総合ランクオッズ別,E,1.5～1.9,,0.0%,0.0%,100.0%
門別,総合ランクオッズ別,E,2.0～2.9,,0.0%,25.0%,50.0%
門別,総合ランクオッズ別,E,3.0～3.9,,26.3%,42.1%,63.2%
門別,総合ランクオッズ別,E,4.0～4.9,,3.6%,32.1%,50.0%
門別,総合ランクオッズ別,E,5.0～6.9,,11.7%,24.3%,42.7%
門別,総合ランクオッズ別,E,7.0～9.9,,6.3%,19.7%,35.9%
門別,総合ランクオッズ別,E,10.0～14.9,,7.6%,17.8%,31.4%
門別,総合ランクオッズ別,E,15.0～19.9,,5.0%,11.4%,20.5%
門別,総合ランクオッズ別,E,20.0～29.9,,3.4%,8.6%,18.9%
門別,総合ランクオッズ別,E,30.0～49.9,,1.9%,5.5%,15.0%
門別,総合ランクオッズ別,E,50.0～99.9,,0.9%,3.1%,9.5%
門別,総合ランクオッズ別,E,100.0～,,0.2%,1.4%,3.0%
門別,総合ランクオッズ別,F,2.0～2.9,,50.0%,50.0%,50.0%
門別,総合ランクオッズ別,F,3.0～3.9,,25.0%,75.0%,75.0%
門別,総合ランクオッズ別,F,4.0～4.9,,10.5%,31.6%,42.1%
門別,総合ランクオッズ別,F,5.0～6.9,,16.7%,28.6%,42.9%
門別,総合ランクオッズ別,F,7.0～9.9,,7.3%,9.8%,23.2%
門別,総合ランクオッズ別,F,10.0～14.9,,8.8%,14.9%,23.0%
門別,総合ランクオッズ別,F,15.0～19.9,,6.8%,15.4%,25.9%
門別,総合ランクオッズ別,F,20.0～29.9,,1.5%,8.0%,15.7%
門別,総合ランクオッズ別,F,30.0～49.9,,2.7%,6.8%,11.1%
門別,総合ランクオッズ別,F,50.0～99.9,,0.8%,3.0%,8.4%
門別,総合ランクオッズ別,F,100.0～,,0.4%,1.3%,3.6%
門別,総合ランクオッズ別,G,2.0～2.9,,0.0%,0.0%,0.0%
門別,総合ランクオッズ別,G,3.0～3.9,,0.0%,0.0%,0.0%
門別,総合ランクオッズ別,G,4.0～4.9,,0.0%,33.3%,66.7%
門別,総合ランクオッズ別,G,5.0～6.9,,7.1%,14.3%,14.3%
門別,総合ランクオッズ別,G,7.0～9.9,,18.2%,31.8%,40.9%
門別,総合ランクオッズ別,G,10.0～14.9,,0.0%,16.7%,16.7%
門別,総合ランクオッズ別,G,15.0～19.9,,3.9%,9.8%,13.7%
門別,総合ランクオッズ別,G,20.0～29.9,,3.6%,6.4%,9.1%
門別,総合ランクオッズ別,G,30.0～49.9,,1.5%,5.0%,9.0%
門別,総合ランクオッズ別,G,50.0～99.9,,0.6%,2.9%,5.6%
門別,総合ランクオッズ別,G,100.0～,,0.1%,0.5%,1.1%
高知,総合ランクオッズ別,SS,1.0～,,27.80%,47.20%,61.10%
高知,総合ランクオッズ別,SS,1.0～4.9,,26.40%,41.50%,52.80%
高知,総合ランクオッズ別,S,1.0～4.9,,28.30%,43.50%,63.00%
高知,総合ランクオッズ別,S,5.0～,,12.50%,23.40%,34.40%
高知,総合ランクオッズ別,AA,1.0～4.9,,15.30%,28.20%,42.40%
高知,総合ランクオッズ別,AA,5.0～6.9,,10.40%,32.50%,39.00%
高知,総合ランクオッズ別,AA,7.0～,,3.90%,7.80%,19.60%
高知,総合ランクオッズ別,A,1.0～4.9,,28.20%,43.60%,53.80%
高知,総合ランクオッズ別,A,5.0～6.9,,8.20%,26.00%,39.70%
高知,総合ランクオッズ別,A,7.0～,,5.30%,18.10%,23.40%
高知,総合ランクオッズ別,B,1.0～4.9,,24.20%,36.40%,45.50%
高知,総合ランクオッズ別,B,5.0～6.9,,7.80%,21.10%,34.40%
高知,総合ランクオッズ別,B,7.0～9.9,,14.30%,24.20%,29.70%
